name	CK12	DA21	CK31	DA23	DA13	DA12	A11	AD32	A21	CK21	AD22	CK22	AD21	AD12	DA22	A23	CK23	AD33	AD31	DA11	CK33	AD23	A22	AD11	AD13	CK13	A13	A12	CK11	CK32
Duncaniella_dubosii	0	6.35E-06	0	2.20E-06	0	0	0	8.79E-07	0	0	0	7.28E-07	0	0	1.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum_gordoncarteri	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	2.52E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muribaculum_intestinale	0	7.05E-07	0	1.65E-06	0	0	0	0	0	0	0	0	0	3.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71E-07
Sodaliphilus_pleomorphus	2.00E-05	0	0	0	0	0	0	0	0	3.86E-06	0	0	0	0	1.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyricimonas_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51E-05	1.78E-05	0	0	0	0	0	0	0	0	0	0	0	5.01E-06	0	0
Butyricimonas_virosa	2.56E-06	0	0	1.10E-06	0	0	0	0	0	5.41E-06	6.10E-07	4.37E-06	0	0	1.54E-06	9.62E-07	5.74E-06	0	0	1.68E-06	0	0	0	1.03E-06	0	0	0	0	0	0
Odoribacter_splanchnicus	4.10E-06	2.12E-06	0	0	0	5.85E-06	0	0	0	0	0	0	0	0	1.02E-05	4.81E-07	0	0	0	8.96E-06	0	0	0	0	0	4.06E-06	1.37E-06	1.34E-06	0	0
Paludibacter_propionicigenes	0	5.43E-05	0	0	0	0	0	0	0	7.72E-07	3.05E-07	6.55E-06	2.52E-07	0	1.54E-06	0	1.64E-06	0	0	0	4.17E-07	0	0	0	0	0	0	0	0	6.71E-07
Porphyromonas_gingivalis	0	0	0	5.50E-07	0	0	0	0	0	0	0	0	0	0	5.12E-07	9.62E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas_sp._oral_taxon_275	0	0	0	0	0	0	0	0	0	0	3.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraprevotella_xylaniphila	0	0	0	0	5.54E-06	0	0	0	0	0	0	0	7.55E-06	0	0.000102465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_buccalis	1.59E-05	7.76E-06	0	5.50E-06	0	0	0	0	0	5.56E-05	0	0	0	0	0	1.83E-05	2.95E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_copri	0.000186529	8.18E-05	0	1.87E-05	4.94E-05	9.05E-05	3.72E-05	8.79E-07	4.23E-06	7.11E-05	3.05E-06	7.50E-05	1.01E-06	2.86E-05	0.0025811	6.73E-06	3.86E-05	1.71E-06	0	0.000186553	8.33E-07	2.87E-06	0	5.45E-05	7.95E-05	8.37E-05	2.71E-05	3.70E-05	9.81E-05	8.72E-06
Prevotella_denticola	0	0	0	0	0	0	5.86E-07	0	0	0	3.05E-07	0	0	0	0	0	0	0	0	0	0	0	0	3.45E-07	0	0	0	0	0	0
Prevotella_fusca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_herbatica	5.12E-07	1.41E-06	0	1.65E-06	0	0	0	0	1.27E-06	7.72E-07	3.05E-07	1.46E-06	2.52E-07	0	4.10E-06	0	3.28E-06	5.69E-07	5.11E-07	5.60E-07	0	1.69E-07	0	0	0	0	0	3.34E-07	4.93E-07	6.71E-07
Prevotella_intermedia	1.13E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-06	0	4.10E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_jejuni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69E-07	1.31E-06	0	0	0	0	0	0	0
Prevotella_melaninogenica	0	0	0	1.65E-06	1.51E-06	0	0	8.79E-07	0	8.50E-06	0	0	0	9.75E-07	0	9.62E-07	0	0	0	3.92E-06	0	1.69E-07	0	0	2.91E-06	0	8.20E-07	0	0	1.34E-06
Prevotella_nigrescens	0	0	0	0	0	0	0	0	0	1.54E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_ruminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.37E-07	0	0	0	0	0	0	0
Prevotella_sp._Rep29	2.56E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_sp._oral_taxon_299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_veroralis	0	0	0	0	0	0	0	0	0	7.72E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.48E-06	0
uncultured_Prevotellamassilia_sp.	2.56E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	2.56E-05	0	8.20E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoprevotella_muciniphila	0	0	0	0	0	0	2.93E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07E-07	0	0	0	0
Alistipes_communis	0	4.65E-05	0	0	0	0	0	0	0	1.47E-05	0	0	0	0	8.09E-05	2.45E-05	5.25E-05	0	5.11E-06	0	0	0	0	0	0	0	0	0	0	0
Alistipes_finegoldii	0	1.62E-05	0	6.05E-06	0	0	0	0	0	0	0	9.46E-06	0	0	2.66E-05	4.81E-06	0	0	0	3.19E-05	0	0	0	1.62E-05	0	0	0	1.64E-05	0	0
Alistipes_indistinctus	0	0	0	0	0	2.13E-06	0	0	0	0	0	0	0	0	2.56E-06	3.85E-06	0	0	0	0	0	0	0	0	0	0	0	2.34E-06	0	0
Alistipes_megaguti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-06	0	2.46E-06	0	0	0	0	0	0	0	6.46E-07	0	0	0	0	0
Alistipes_onderdonkii	3.07E-06	0	0	1.15E-05	0	1.38E-05	0	0	0	0	0	0	0	2.27E-06	6.40E-05	1.92E-06	6.56E-06	0	0	8.96E-06	1.67E-06	0	0	0	1.94E-06	3.04E-06	0	4.67E-06	7.40E-06	2.01E-06
Alistipes_senegalensis	1.02E-06	2.12E-06	0	2.20E-06	0	0	0	0	0	3.09E-06	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes_shahii	1.74E-05	3.74E-05	0	3.85E-06	9.57E-06	6.39E-06	0	0	0	3.71E-05	0	3.06E-05	0	9.42E-06	0.00014755	4.81E-05	5.25E-05	0	0	0	0	0	0	0	0	4.06E-06	9.02E-06	6.68E-06	5.42E-06	0
Alistipes_sp._dk3624	0	0	0	0	0	0	0	0	0	1.93E-05	0	3.64E-06	0	0	2.31E-05	2.40E-06	0	0	0	0	0	0	0	0	0	2.54E-06	0	0	0	0
Mucinivorans_hirudinis	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07E-07	0	0	4.93E-07	0
Salinivirga_cyanobacteriivorans	1.02E-06	2.82E-06	5.74E-07	5.50E-07	5.04E-07	3.73E-06	5.86E-07	8.79E-07	2.12E-06	7.72E-07	6.10E-07	2.91E-06	2.52E-07	3.25E-07	5.12E-07	2.88E-06	1.64E-06	5.69E-07	1.53E-06	0	8.33E-07	3.38E-07	1.75E-06	6.89E-07	0	1.52E-06	1.37E-06	6.68E-07	1.97E-06	2.01E-06
Parabacteroides_distasonis	8.20E-06	0	0	3.63E-05	1.61E-05	0	8.21E-06	0	1.18E-05	3.94E-05	0	1.60E-05	0	0	0.000549214	0.000109133	4.35E-05	0	0	0	0	0	0	0	3.88E-06	1.37E-05	0	0	2.27E-05	0
Parabacteroides_goldsteinii	8.20E-06	1.27E-05	2.58E-06	1.32E-05	6.55E-06	1.65E-05	6.16E-06	1.32E-06	1.14E-05	1.16E-05	5.49E-06	2.62E-05	1.28E-05	1.23E-05	1.95E-05	8.17E-06	3.94E-05	2.28E-06	1.53E-06	2.35E-05	1.25E-06	6.59E-06	2.27E-05	3.45E-06	6.46E-06	7.61E-06	6.56E-06	1.27E-05	1.92E-05	4.69E-06
Parabacteroides_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05E-06	3.61E-05	0	0	0	0	0	0	0	0	0	0	5.47E-07	0	0	0
Parabacteroides_merdae	8.71E-05	1.20E-05	0	0.000120916	0	2.29E-05	2.93E-06	0	0	6.33E-05	5.80E-06	6.84E-05	0	3.57E-06	0.000496957	0.000154806	2.30E-05	0	0	0	0	4.73E-06	0	4.14E-06	2.91E-06	5.58E-06	6.29E-06	7.01E-06	5.92E-06	0
Parabacteroides_sp._CT06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000165481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured_Parabacteroides_sp.	0	5.08E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella_serpentiformis	0	0	0	0	0	0	0	0	0	7.72E-06	0	0	0	0	0	0	4.10E-06	0	0	0	0	1.69E-07	0	0	0	0	0	0	0	0
Tenuifilum_thalassicum	0	2.12E-06	0	0	0	0	2.93E-07	0	0	0	0	0	0	0	0	2.40E-06	0	5.69E-07	1.02E-06	5.60E-07	4.17E-07	5.07E-07	4.37E-07	0	0	0	0	0	0	1.34E-06
Bacteroidales_bacterium	5.12E-07	0	0	5.50E-07	0	5.32E-07	0	0	0	1.54E-06	0	0	0	0	1.54E-06	0	8.20E-07	0	0	5.60E-07	0	0	0	0	0	0	2.73E-07	0	4.93E-07	6.71E-07
Bacteroidales_bacterium_CF	0	0	0	1.65E-06	3.02E-06	0	5.86E-07	0	0	0	0	5.09E-06	1.51E-06	0	0	0	0	0	4.60E-06	1.68E-06	4.17E-06	6.76E-07	6.55E-06	6.89E-07	0	0	5.47E-07	3.34E-07	0	1.68E-05
Labilibaculum_antarcticum	3.79E-05	0.00053163	0.000252765	0.001041529	6.04E-05	3.14E-05	0.00011641	0.000609683	0.001291764	0.000505088	0.002630348	0.000346445	0.000924528	0.000165716	0.000219788	0.003576399	0.000375704	0.001876432	0.000788963	3.98E-05	0.000755447	0.000687347	0.001694148	0.000214428	0.000215283	3.45E-05	0.000106035	0.000129173	8.93E-05	0.004035752
Alkalitalea_saponilacus	2.05E-06	0	5.74E-07	1.10E-06	1.01E-06	2.66E-06	8.80E-07	4.40E-07	1.27E-06	7.72E-07	3.36E-06	7.28E-07	2.52E-07	3.25E-07	0	2.40E-06	0	5.69E-07	5.11E-07	0	8.33E-07	2.03E-06	2.18E-06	6.89E-07	1.29E-06	5.07E-07	1.37E-06	6.68E-07	1.48E-06	0
uncultured_Marinilabiliaceae_bacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquipluma_nitroreducens	0	0	2.87E-07	0	0	0	0	0	0	0	0	1.46E-06	2.52E-07	0	0	0	8.20E-07	0	0	0	0	1.69E-07	0	0	0	0	0	0	1.48E-06	0
Draconibacterium_halophilum	0	1.34E-05	1.15E-06	1.48E-05	5.04E-07	5.32E-07	1.76E-06	3.96E-06	2.54E-06	8.50E-06	1.01E-05	1.02E-05	1.51E-06	3.25E-07	4.61E-06	1.35E-05	2.46E-06	5.69E-07	4.60E-06	1.12E-06	3.75E-06	2.70E-06	5.24E-06	1.03E-06	9.70E-07	3.04E-06	2.19E-06	2.00E-06	2.47E-06	9.39E-06
Draconibacterium_orientale	0.000151683	0.000109287	2.67E-05	0.000162687	0.000133449	0.000144764	7.39E-05	6.37E-05	0.000126511	0.000122024	0.000208622	0.000139743	8.18E-05	0.000105603	4.97E-05	0.000225959	0.000108281	0.000106493	6.43E-05	0.000156861	6.58E-05	8.04E-05	0.000140997	0.000111006	0.000139643	0.000179004	8.25E-05	8.01E-05	0.000156322	0.000233373
Maribellus_comscasis	2.20E-05	6.56E-05	1.92E-05	0.000121466	1.96E-05	1.49E-05	2.05E-05	4.57E-05	7.62E-05	6.56E-05	7.75E-05	6.19E-05	2.09E-05	5.52E-06	3.79E-05	0.000264901	8.04E-05	9.57E-05	9.55E-05	3.81E-05	4.71E-05	1.38E-05	0.000116988	8.27E-06	4.53E-06	2.48E-05	1.45E-05	1.17E-05	2.47E-05	0.000132781
Prolixibacteraceae_bacterium	0	0	2.87E-07	1.65E-06	0	0	0	4.40E-07	4.23E-07	0	9.15E-07	0	7.55E-07	0	0	1.92E-06	0	0	0	1.12E-06	0	3.38E-07	0	0	6.46E-07	5.07E-07	0	0	0	4.02E-06
Arachidicoccus_ginsenosidivorans	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arachidicoccus_soli	0	0	0	0	0	0	0	0	0	7.72E-07	0	1.46E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arachidicoccus_sp._BS20	0	0	0	0	0	0	0	0	0	6.18E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga_agri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12E-06	0	0	0	0	0	0	0	0	0	0
Chitinophaga_caeni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga_oryzae	0	0	0	0	0	0	0	0	4.23E-07	7.72E-07	0	7.28E-07	0	6.50E-07	0	0	0	0	0	0	4.17E-07	0	8.73E-07	0	0	0	0	0	0	0
Chitinophaga_pinensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93E-07	0
Chitinophaga_sp._E66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ferruginibacter_lapsinanis	0	0	0	5.50E-07	0	5.32E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Filimonas_lacunae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.20E-07	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavisolibacter_tropicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73E-07	0	0	0
Niabella_ginsenosidivorans	0	0	2.87E-07	5.50E-07	0	0	0	0	0	0	0	0	0	3.25E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Niabella_sp._I65	5.12E-06	2.33E-05	0	1.92E-05	0	0	2.05E-06	0	5.67E-05	4.48E-05	0	3.64E-05	0	5.20E-06	0	0	0	0	0	1.01E-05	0	0	0	0	4.53E-06	0	1.91E-06	2.34E-06	0	7.24E-05
Phnomibacter_ginsenosidimutans	1.02E-06	5.64E-06	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	9.86E-07	0
Pseudobacter_ginsenosidimutans	0	0	0	0	0	0	0	4.40E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudocnuella_soli	0	0	5.74E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02E-06	0	0	0	0	0	0	1.01E-06	0	0	0	0
Thermoflavifilum_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.07E-07	0	0	0	0
Chitinophagaceae_bacterium	0	0	0	0	5.04E-07	0	0	0	0	7.72E-07	0	7.28E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophagaceae_bacterium_LGM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.71E-07
Candidatus_Amoebophilus_asiaticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.34E-07	0	0
Candidatus_Cardinium_hertigii	0	0	0	0	0	0	0	0	0	0	0	8.73E-06	0	0	0	0	0	0	0	0	0	0	0	1.03E-06	0	0	0	0	0	0
Bernardetia_litoralis	2.25E-05	2.68E-05	3.44E-06	2.97E-05	2.77E-05	2.45E-05	2.76E-05	1.32E-06	5.80E-05	1.31E-05	1.77E-05	2.04E-05	7.55E-06	2.53E-05	9.73E-06	3.22E-05	1.97E-05	1.14E-06	1.53E-06	2.63E-05	1.25E-06	2.20E-05	4.76E-05	3.10E-05	3.14E-05	2.99E-05	2.81E-05	3.07E-05	2.81E-05	8.72E-06
Algoriphagus_machipongonensis	2.05E-06	2.82E-06	0	0	4.03E-06	0	2.35E-06	0	2.12E-06	0	0	5.09E-06	0	1.95E-06	0	0	2.46E-06	0	0	1.12E-06	0	0	0	3.45E-07	6.14E-06	2.03E-06	8.20E-07	4.01E-06	9.86E-07	0
Algoriphagus_sanaruensis	0	0	2.87E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69E-07	0	0	8.33E-07	3.38E-07	0	0	0	0	0	0	0	0
Algoriphagus_sp._NBT04N3	0.000145021	6.49E-05	1.26E-05	6.71E-05	0.000143017	0.000155409	0.000145439	1.10E-05	3.93E-05	9.58E-05	2.68E-05	6.70E-05	3.50E-05	0.00012315	3.74E-05	3.80E-05	0.00010418	6.83E-06	1.17E-05	0.000110363	8.75E-06	1.71E-05	6.42E-05	0.000158235	0.000133178	0.000192695	0.000154953	0.000148533	0.000153363	1.61E-05
Algoriphagus_sp._Y33	3.07E-06	7.05E-07	0	0	5.04E-07	1.60E-06	8.80E-07	4.40E-07	8.46E-07	7.72E-07	0	0	0	0	0	0	8.20E-07	5.69E-07	0	3.92E-06	0	1.69E-07	4.37E-06	1.03E-06	6.46E-07	5.07E-07	5.47E-07	6.68E-07	2.96E-06	0
Aquiflexum_balticum	5.12E-06	3.53E-06	2.87E-07	5.50E-07	0	2.13E-06	4.11E-06	4.40E-07	4.23E-07	1.54E-06	6.10E-07	2.18E-06	2.52E-07	1.62E-06	2.05E-06	1.44E-06	0	1.14E-06	0	1.12E-06	1.25E-06	1.01E-06	0	1.38E-06	3.23E-07	5.07E-07	0	1.00E-06	4.93E-06	0
Belliella_baltica	2.56E-06	2.12E-06	0	1.10E-06	6.04E-06	3.19E-06	2.05E-06	7.91E-06	1.02E-05	1.31E-05	3.36E-05	5.82E-06	7.55E-07	2.27E-06	3.07E-06	1.83E-05	2.05E-05	6.83E-06	2.55E-06	1.68E-06	8.33E-07	9.12E-06	8.73E-06	6.89E-07	2.26E-06	5.07E-07	1.91E-06	4.67E-06	1.04E-05	0
Cyclobacterium_amurskyense	0.001508116	0.000249598	0.000160094	0.000319878	0.0016734	0.001961768	0.004391028	0.000374514	0.02879158	0.002298382	0.00139905	0.002748271	0.001302195	0.006318969	0.000192635	0.017804113	0.00287028	0.000154329	0.000185879	0.00175012	0.000358764	0.000711159	0.027015135	0.005731978	0.00958752	0.000944713	0.004575348	0.004121527	0.001849726	0.000140829
Cyclobacterium_marinum	9.17E-05	9.10E-05	3.56E-05	0.000142351	8.11E-05	0.000102719	0.000167431	9.10E-05	0.003265164	0.000420134	0.000334589	0.000452708	0.000301126	0.000235251	0.000123983	0.002353337	0.000539767	4.90E-05	3.22E-05	9.69E-05	5.83E-05	9.27E-05	0.005071967	0.000222701	0.000339087	8.01E-05	0.000156593	0.000184581	0.000104543	4.63E-05
Echinicola_rosea	3.59E-06	0	0	0	0	0	2.93E-07	0	0	0	0	0	0	1.30E-06	1.02E-06	0	0	1.14E-06	0	0	0	0	1.75E-06	0	0	0	0	0	2.47E-06	0
Echinicola_soli	0	0	0	1.10E-06	5.04E-07	0	1.17E-06	0	8.46E-07	1.54E-06	1.22E-06	7.28E-06	0	0	5.12E-07	0	1.64E-06	5.69E-07	0	5.60E-07	0	1.69E-07	4.37E-07	6.89E-07	9.70E-07	1.52E-06	8.20E-07	2.00E-06	1.97E-06	0
Echinicola_sp._20G	0	7.05E-07	0	5.50E-07	1.51E-06	1.60E-06	0	4.40E-07	1.27E-06	4.63E-06	1.53E-06	7.28E-07	7.55E-07	9.75E-07	1.54E-06	1.44E-06	1.64E-06	5.69E-07	0	1.12E-06	8.33E-07	1.18E-06	1.75E-06	1.72E-06	6.46E-07	1.52E-06	1.37E-06	0	9.86E-07	6.71E-07
Echinicola_sp._SCS_3-6	1.02E-06	0	0	0	5.04E-07	5.32E-07	2.93E-07	1.76E-06	8.04E-06	4.63E-06	9.15E-07	6.55E-06	0	1.62E-06	2.56E-06	1.35E-05	7.38E-06	0	1.53E-06	2.24E-06	1.67E-06	3.38E-07	1.05E-05	3.45E-07	3.23E-07	1.52E-06	2.73E-07	1.34E-06	1.97E-06	0
Echinicola_strongylocentroti	1.08E-05	7.76E-06	2.01E-06	6.05E-06	6.55E-06	1.12E-05	7.92E-06	6.59E-06	4.23E-06	2.32E-06	8.24E-06	4.37E-06	9.57E-06	5.52E-06	9.73E-06	9.62E-07	5.74E-06	2.28E-06	8.17E-06	6.72E-06	2.92E-06	4.39E-06	6.55E-06	8.96E-06	9.37E-06	8.11E-06	6.01E-06	1.13E-05	1.04E-05	3.35E-06
Echinicola_vietnamensis	3.07E-06	2.12E-06	0	1.10E-06	1.01E-06	1.06E-06	5.86E-07	0	5.08E-06	8.50E-06	0	2.18E-06	0	0	3.07E-06	4.81E-06	1.97E-05	0	0	3.92E-06	0	5.07E-07	2.10E-05	1.03E-06	6.46E-07	0	5.47E-07	6.68E-07	6.41E-06	0
Cyclobacteriaceae_bacterium	0	0	0	0	1.01E-06	5.32E-07	8.80E-07	0	0	4.63E-06	6.10E-07	1.46E-06	5.04E-07	3.25E-07	0	0	4.92E-06	0	0	2.24E-06	0	0	0	6.89E-07	6.46E-07	1.52E-06	8.20E-07	0	4.93E-07	0
Aquirufa_nivalisilvae	0	0	0	0	0	0	0	0	4.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga_hutchinsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.93E-07	0
Cytophaga_sp._I-762	0	0	0	0	0	0	0	0	8.89E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cytophaga_sp._MBIC01484	0	0	0	0	0	5.32E-07	2.05E-06	0	0	0	0	0	0	9.75E-07	0	0	0	0	0	0	0	0	0	3.45E-07	6.46E-07	0	1.09E-06	6.68E-07	1.97E-06	0
Spirosoma_aerolatum	5.12E-07	0	0	0	5.04E-07	0	0	0	0	1.54E-06	0	0	1.51E-06	0	0	0	0	1.71E-06	0	0	1.67E-06	0	0	6.89E-07	0	5.07E-07	0	0	0	1.34E-06
Spirosoma_endbachense	2.05E-06	0	0	0	0	0	0	0	0	1.24E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma_linguale	0	0	2.87E-07	0	5.04E-07	0	1.17E-06	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	3.23E-07	0	0	0	0	0
Spirosoma_montaniterrae	0	0	0	0	0	0	0	0	0	0	6.10E-07	0	0	0	0	0	0	0	0	0	4.17E-07	0	0	0	0	0	0	0	0	6.71E-07
Spirosoma_radiotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.56E-06	0	0	0	0	0	0	0	0	5.07E-07	0	0	0	0
Cytophagaceae_bacterium	1.95E-05	1.34E-05	5.74E-07	3.85E-06	1.56E-05	2.39E-05	2.14E-05	8.79E-07	4.23E-06	0.000125886	3.05E-07	9.61E-05	7.55E-07	6.82E-06	5.64E-06	2.88E-06	0.000167344	5.69E-07	2.04E-06	3.36E-05	2.08E-06	1.52E-06	0.000108694	1.03E-05	1.00E-05	1.77E-05	1.72E-05	5.67E-06	1.68E-05	6.71E-07
Flammeovirga_kamogawensis	3.07E-06	7.05E-07	2.87E-07	1.65E-06	5.04E-07	2.13E-06	2.35E-06	0	3.38E-06	3.09E-06	2.75E-06	2.91E-06	1.51E-06	6.50E-07	2.05E-06	2.88E-06	0	0	0	3.36E-06	0	2.03E-06	2.62E-06	6.89E-07	5.82E-06	2.03E-06	1.09E-06	1.34E-06	9.86E-07	0
Flammeovirga_pectinis	0	1.41E-06	0	0	0	5.32E-07	2.93E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45E-07	0	0	2.73E-07	0	4.93E-07	0
Flammeovirga_sp._MY04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.60E-07	0	0	0	0	0	0	0	3.34E-07	0	0
Flammeovirga_yaeyamensis	5.12E-07	0	0	0	1.01E-06	0	5.86E-07	0	1.27E-06	0	6.10E-07	7.28E-07	0	0	0	0	0	0	0	0	0	0	0	0	6.46E-07	0	0	0	0	0
Flammeovirgaceae_bacterium	0	0	0	0	5.04E-07	0	0	0	0	0	0	2.18E-06	0	9.75E-07	0	0	9.84E-06	0	0	0	0	0	0	0	0	0	8.20E-07	3.34E-07	0	0
Flammeovirgaceae_bacterium_311	0	0	0	0	0	0	0	0	0	0	0	0	5.04E-07	0	0	0	0	0	0	0	0	0	0	0	3.23E-07	0	0	0	0	0
Chryseolinea_soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.45E-07	0	0	0	0	0	0
Fulvivirga_lutea	5.64E-06	2.12E-06	1.15E-06	3.85E-06	3.53E-06	6.92E-06	1.47E-06	7.03E-06	8.46E-07	4.63E-06	7.63E-06	4.37E-06	9.06E-06	4.87E-06	2.05E-06	3.37E-06	6.56E-06	1.71E-06	0	5.04E-06	8.33E-06	8.44E-07	5.24E-06	2.76E-06	2.26E-06	1.06E-05	2.73E-06	1.67E-06	8.88E-06	6.71E-07
Adhaeribacter_radiodurans	0	0	0	0	0	0	0	0	4.23E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter_sp._NBH84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01E-06
Hymenobacter_swuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nibribacter_ruber	0	0	5.74E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pontibacter_actiniarum	0	0	0	0	0	0	0	0	4.23E-07	0	0	0	0	0	0	9.62E-07	0	0	0	5.60E-07	0	0	0	0	6.46E-07	4.06E-06	0	2.34E-06	0	0
Pontibacter_akesuensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12E-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pontibacter_korlensis	0	0	0	0	1.51E-06	2.13E-06	5.86E-07	0	0	0	0	0	0	0	2.56E-06	0	0	0	0	0	0	0	0	3.45E-07	0	5.07E-07	0	0	0	0
Pontibacter_pudoricolor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38E-07	2.62E-06	0	0	0	0	0	0	0
Pontibacter_russatus	1.33E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
