GeneFamily	Description
K02391	flgF; flagellar basal-body rod protein FlgF
K02392	flgG; flagellar basal-body rod protein FlgG
K02393	flgH; flagellar L-ring protein precursor FlgH
K02394	flgI; flagellar P-ring protein precursor FlgI
K02395	flgJ; flagellar protein FlgJ
K02396	flgK; flagellar hook-associated protein 1 FlgK
K02397	flgL; flagellar hook-associated protein 3 FlgL
K02398	flgM; negative regulator of flagellin synthesis FlgM
K02399	flgN; flagella synthesis protein FlgN
K02400	flhA; flagellar biosynthesis protein FlhA
K02401	flhB; flagellar biosynthetic protein FlhB
K02402	flhC; flagellar transcriptional activator FlhC
K02403	flhD; flagellar transcriptional activator FlhD
K02404	flhF; flagellar biosynthesis protein FlhF
K02405	fliA; RNA polymerase sigma factor for flagellar operon FliA
K02406	fliC; flagellin
K02407	fliD; flagellar hook-associated protein 2
K02408	fliE; flagellar hook-basal body complex protein FliE
K02409	fliF; flagellar M-ring protein FliF
K02410	fliG; flagellar motor switch protein FliG
K02411	fliH; flagellar assembly protein FliH
K02412	fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
K02413	fliJ; flagellar FliJ protein
K02414	fliK; flagellar hook-length control protein FliK
K02415	fliL; flagellar FliL protein
K02416	fliM; flagellar motor switch protein FliM
K02417	"fliNY, fliN; flagellar motor switch protein FliN/FliY"
K02418	"fliOZ, fliO; flagellar protein FliO/FliZ"
K02419	fliP; flagellar biosynthetic protein FliP
K02420	fliQ; flagellar biosynthetic protein FliQ
K02421	fliR; flagellar biosynthetic protein FliR
K02422	fliS; flagellar protein FliS
K02424	"fliY, tcyA; L-cystine transport system substrate-binding protein"
K02425	fliZ; regulator of sigma S factor FliZ
K02426	sufE; cysteine desulfuration protein SufE
K02427	"rlmE, rrmJ, ftsJ; 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"
K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]
K02429	"fucP; MFS transporter, FHS family, L-fucose permease"
K02431	"fucU, FUOM; L-fucose mutarotase [EC:5.1.3.29]"
K02433	"gatA, QRSL1; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"
K02434	"gatB, PET112; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]"
K02435	"gatC, GATC; aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]"
K02437	"gcvH, GCSH; glycine cleavage system H protein"
K02438	glgX; glycogen debranching enzyme [EC:3.2.1.196]
K02439	glpE; thiosulfate sulfurtransferase [EC:2.8.1.1]
K02440	GLPF; glycerol uptake facilitator protein
K02441	glpG; GlpG protein
K02444	"glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor"
K02445	"glpT; MFS transporter, OPA family, glycerol-3-phosphate transporter"
K02446	"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]"
K02448	norD; nitric oxide reductase NorD protein
K02450	gspA; general secretion pathway protein A
K02451	gspB; general secretion pathway protein B
K02452	gspC; general secretion pathway protein C
K02453	gspD; general secretion pathway protein D
K02454	gspE; general secretion pathway protein E [EC:7.4.2.8]
K02455	gspF; general secretion pathway protein F
K02456	gspG; general secretion pathway protein G
K02457	gspH; general secretion pathway protein H
K02458	gspI; general secretion pathway protein I
K02459	gspJ; general secretion pathway protein J
K02460	gspK; general secretion pathway protein K
K02461	gspL; general secretion pathway protein L
K02462	gspM; general secretion pathway protein M
K02463	gspN; general secretion pathway protein N
K02464	gspO; general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]
K02467	gutQ; arabinose 5-phosphate isomerase [EC:5.3.1.13]
K02469	gyrA; DNA gyrase subunit A [EC:5.6.2.2]
K02470	gyrB; DNA gyrase subunit B [EC:5.6.2.2]
K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K02473	wbpP; UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7]
K02474	wbpO; UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-]
K02475	"K02475; two-component system, CitB family, response regulator"
K02476	"K02476; two-component system, CitB family, sensor kinase [EC:2.7.13.3]"
K02477	"K02477; two-component system, LytTR family, response regulator"
K02478	"K02478; two-component system, LytTR family, sensor kinase [EC:2.7.13.3]"
K02479	"K02479; two-component system, NarL family, response regulator"
K02480	"K02480; two-component system, NarL family, sensor kinase [EC:2.7.13.3]"
K02481	"K02481; two-component system, NtrC family, response regulator"
K02482	"K02482; two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"
K02483	"K02483; two-component system, OmpR family, response regulator"
K02484	"K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]"
K02485	"rssB, hnr; two-component system, response regulator"
K02487	pilL; type IV pili sensor histidine kinase and response regulator
K02488	"pleD; two-component system, cell cycle response regulator [EC:2.7.7.65]"
K02492	hemA; glutamyl-tRNA reductase [EC:1.2.1.70]
K02493	"hemK, prmC, HEMK; release factor glutamine methyltransferase [EC:2.1.1.297]"
K02494	lolB; outer membrane lipoprotein LolB
K02495	"hemN, hemZ; oxygen-independent coproporphyrinogen III oxidase [EC:1.3.98.3]"
K02496	hemX; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
K02498	hemY; HemY protein
K02500	hisF; imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]
K02501	hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]
K02502	hisZ; ATP phosphoribosyltransferase regulatory subunit
K02503	"HINT1, hinT, hit; histidine triad (HIT) family protein"
K02504	hofB; protein transport protein HofB
K02507	hofQ; protein transport protein HofQ
K02509	"hpaH; 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]"
K02510	"hpaI, hpcH; 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]"
K02517	"lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"
K02518	infA; translation initiation factor IF-1
K02519	"infB, MTIF2; translation initiation factor IF-2"
K02520	"infC, MTIF3; translation initiation factor IF-3"
K02521	"ilvY; LysR family transcriptional regulator, positive regulator for ilvC"
K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
K02525	"kdgR; LacI family transcriptional regulator, kdg operon repressor"
K02526	kdgT; 2-keto-3-deoxygluconate permease
K02527	"kdtA, waaA; 3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"
K02528	ksgA; 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
K02529	"lacI, galR; LacI family transcriptional regulator"
K02532	"lacY; MFS transporter, OHS family, lactose permease"
K02533	lasT; tRNA/rRNA methyltransferase [EC:2.1.1.-]
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
K02536	lpxD; UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
K02538	"manR; activator of the mannose operon, transcriptional antiterminator"
K02548	"menA; 1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]"
K02549	menC; O-succinylbenzoate synthase [EC:4.2.1.113]
K02550	glcA; glycolate permease
K02551	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
K02552	menF; menaquinone-specific isochorismate synthase [EC:5.4.4.2]
K02553	"rraA, menG; regulator of ribonuclease activity A"
K02554	mhpD; 2-keto-4-pentenoate hydratase [EC:4.2.1.80]
K02556	motA; chemotaxis protein MotA
K02557	motB; chemotaxis protein MotB
K02558	mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
K02560	"lpxM, msbB; lauroyl-Kdo2-lipid IVA myristoyltransferase [EC:2.3.1.243]"
K02563	murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
K02564	"nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]"
K02565	nagC; N-acetylglucosamine repressor
K02566	nagD; NagD protein
K02567	napA; periplasmic nitrate reductase NapA [EC:1.7.99.-]
K02568	napB; cytochrome c-type protein NapB
K02569	napC; cytochrome c-type protein NapC
K02570	napD; periplasmic nitrate reductase NapD
K02571	napE; periplasmic nitrate reductase NapE
K02572	napF; ferredoxin-type protein NapF
K02573	napG; ferredoxin-type protein NapG
K02574	napH; ferredoxin-type protein NapH
K02575	"NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter"
K02584	nifA; Nif-specific regulatory protein
K02585	nifB; nitrogen fixation protein NifB
K02586	nifD; nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
K02587	nifE; nitrogenase molybdenum-cofactor synthesis protein NifE
K02588	nifH; nitrogenase iron protein NifH
K02589	"nifHD1, nifI1; nitrogen regulatory protein PII 1"
K02590	"nifHD2, nifI2; nitrogen regulatory protein PII 2"
K02591	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
K02600	nusA; transcription termination/antitermination protein NusA
K02601	nusG; transcription termination/antitermination protein NusG
K02609	"paaA; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]"
K02610	"paaB; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaB"
K02611	"paaC; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaC [EC:1.14.13.149]"
K02612	"paaD; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaD"
K02613	"paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
K02614	paaI; acyl-CoA thioesterase [EC:3.1.2.-]
K02616	paaX; phenylacetic acid degradation operon negative regulatory protein
K02617	paaY; phenylacetic acid degradation protein
K02618	"paaZ; oxepin-CoA hydrolase / 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase [EC:3.3.2.12 1.2.1.91]"
K02619	pabC; 4-amino-4-deoxychorismate lyase [EC:4.1.3.38]
K02621	parC; topoisomerase IV subunit A [EC:5.6.2.2]
K02622	parE; topoisomerase IV subunit B [EC:5.6.2.2]
K02624	"pcaR; IclR family transcriptional regulator, pca regulon regulatory protein"
K02626	pdaD; arginine decarboxylase [EC:4.1.1.19]
K02634	petA; apocytochrome f
K02635	petB; cytochrome b6
K02636	petC; cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
K02637	petD; cytochrome b6-f complex subunit 4
K02639	petF; ferredoxin
K02647	cdaR; carbohydrate diacid regulator
K02651	"flp, pilA; pilus assembly protein Flp/PilA"
K02652	pilB; type IV pilus assembly protein PilB
K02653	pilC; type IV pilus assembly protein PilC
K02654	"pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"
K02655	pilE; type IV pilus assembly protein PilE
K02656	pilF; type IV pilus assembly protein PilF
K02657	pilG; twitching motility two-component system response regulator PilG
K02658	pilH; twitching motility two-component system response regulator PilH
K02659	pilI; twitching motility protein PilI
K02660	pilJ; twitching motility protein PilJ
K02661	pilK; type IV pilus assembly protein PilK
K02662	pilM; type IV pilus assembly protein PilM
K02663	pilN; type IV pilus assembly protein PilN
K02664	pilO; type IV pilus assembly protein PilO
K02665	pilP; type IV pilus assembly protein PilP
K02666	pilQ; type IV pilus assembly protein PilQ
K02667	"pilR, pehR; two-component system, NtrC family, response regulator PilR"
K02668	"pilS, pehS; two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]"
K02669	pilT; twitching motility protein PilT
K02670	pilU; twitching motility protein PilU
K02671	pilV; type IV pilus assembly protein PilV
K02672	pilW; type IV pilus assembly protein PilW
K02673	pilX; type IV pilus assembly protein PilX
K02676	pilZ; type IV pilus assembly protein PilZ
K02680	ppdB; prepilin peptidase dependent protein B
K02682	ppdD; prepilin peptidase dependent protein D
K02683	"priS, pri1, priA; DNA primase small subunit [EC:2.7.7.102]"
K02686	priB; primosomal replication protein N
K02687	prmA; ribosomal protein L11 methyltransferase [EC:2.1.1.-]
K02688	"prpR; transcriptional regulator, propionate catabolism operon regulatory protein"
K02689	psaA; photosystem I P700 chlorophyll a apoprotein A1
K02690	psaB; photosystem I P700 chlorophyll a apoprotein A2
K02691	psaC; photosystem I subunit VII
K02703	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
K02704	psbB; photosystem II CP47 chlorophyll apoprotein
K02705	psbC; photosystem II CP43 chlorophyll apoprotein
K02706	psbD; photosystem II P680 reaction center D2 protein [EC:1.10.3.9]
K02707	psbE; photosystem II cytochrome b559 subunit alpha
K02709	psbH; photosystem II PsbH protein
K02712	psbK; photosystem II PsbK protein
K02724	psbZ; photosystem II PsbZ protein
K02742	sprT; SprT protein
K02745	"PTS-Aga-EIIB, agaV; PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.-]"
K02747	"PTS-Aga-EIID, agaE; PTS system, N-acetylgalactosamine-specific IID component"
K02750	"PTS-Glv-EIIC, glvC, malP, aglA; PTS system, alpha-glucoside-specific IIC component"
K02752	"PTS-Asc-EIIB, ascF; PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIB component [EC:2.7.1.-]"
K02753	"PTS-Asc-EIIC, ascF; PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIC component"
K02755	"PTS-Bgl-EIIA, bglF, bglP; PTS system, beta-glucoside-specific IIA component [EC:2.7.1.-]"
K02756	"PTS-Bgl-EIIB, bglF, bglP; PTS system, beta-glucoside-specific IIB component [EC:2.7.1.-]"
K02757	"PTS-Bgl-EIIC, bglF, bglP; PTS system, beta-glucoside-specific IIC component"
K02759	"PTS-Cel-EIIA, celC, chbA; PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205]"
K02760	"PTS-Cel-EIIB, celA, chbB; PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205]"
K02761	"PTS-Cel-EIIC, celB, chbC; PTS system, cellobiose-specific IIC component"
K02768	"PTS-Fru-EIIA, fruB; PTS system, fructose-specific IIA component [EC:2.7.1.202]"
K02769	"PTS-Fru-EIIB, fruA; PTS system, fructose-specific IIB component [EC:2.7.1.202]"
K02770	"PTS-Fru-EIIC, fruA; PTS system, fructose-specific IIC component"
K02775	"PTS-Gat-EIIC, gatC, sgcC; PTS system, galactitol-specific IIC component"
K02777	"PTS-Glc-EIIA, crr; PTS system, sugar-specific IIA component [EC:2.7.1.-]"
K02778	"PTS-Glc-EIIB, ptsG; PTS system, glucose-specific IIB component [EC:2.7.1.199]"
K02779	"PTS-Glc-EIIC, ptsG; PTS system, glucose-specific IIC component"
K02781	"PTS-Gut-EIIA, srlB; PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]"
K02783	"PTS-Gut-EIIC, srlA; PTS system, glucitol/sorbitol-specific IIC component"
K02784	"PTS-HPR.PTSH, ptsH; phosphocarrier protein HPr"
K02790	"PTS-MalGlc-EIIB, malX; PTS system, maltose/glucose-specific IIB component [EC:2.7.1.199 2.7.1.208]"
K02791	"PTS-MalGlc-EIIC, malX; PTS system, maltose/glucose-specific IIC component"
K02793	"PTS-Man-EIIA, manX; PTS system, mannose-specific IIA component [EC:2.7.1.191]"
K02794	"PTS-Man-EIIB, manX; PTS system, mannose-specific IIB component [EC:2.7.1.191]"
K02795	"PTS-Man-EIIC, manY; PTS system, mannose-specific IIC component"
K02796	"PTS-Man-EIID, manZ; PTS system, mannose-specific IID component"
K02798	"PTS-Mtl-EIIA, mtlA, cmtB; PTS system, mannitol-specific IIA component [EC:2.7.1.197]"
K02803	"PTS-Nag-EIIB, nagE; PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.193]"
K02804	"PTS-Nag-EIIC, nagE; PTS system, N-acetylglucosamine-specific IIC component"
K02805	"wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]"
K02806	"PTS-Ntr-EIIA, ptsN; PTS system, nitrogen regulatory IIA component [EC:2.7.1.-]"
K02809	"PTS-Scr-EIIB, scrA, sacP, sacX, ptsS; PTS system, sucrose-specific IIB component [EC:2.7.1.211]"
K02810	"PTS-Scr-EIIC, scrA, sacP, sacX, ptsS; PTS system, sucrose-specific IIC component"
K02815	"PTS-Sor-EIID, sorM; PTS system, sorbose-specific IID component"
K02818	"PTS-Tre-EIIB, treB; PTS system, trehalose-specific IIB component [EC:2.7.1.201]"
K02819	"PTS-Tre-EIIC, treB; PTS system, trehalose-specific IIC component"
K02821	"PTS-Ula-EIIA, ulaC, sgaA; PTS system, ascorbate-specific IIA component [EC:2.7.1.194]"
K02822	"PTS-Ula-EIIB, ulaB, sgaB; PTS system, ascorbate-specific IIB component [EC:2.7.1.194]"
K02824	"pyrP, uraA; uracil permease"
K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]
K02834	rbfA; ribosome-binding factor A
K02835	"prfA, MTRF1, MRF1; peptide chain release factor 1"
K02836	prfB; peptide chain release factor 2
K02837	prfC; peptide chain release factor 3
K02838	"frr, MRRF, RRF; ribosome recycling factor"
K02840	"waaB, rfaB; UDP-D-galactose:(glucosyl)LPS alpha-1,6-D-galactosyltransferase [EC:2.4.1.-]"
K02843	"waaF, rfaF; heptosyltransferase II [EC:2.4.-.-]"
K02844	"waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
K02846	solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]
K02847	"waaL, rfaL; O-antigen ligase [EC:2.4.1.-]"
K02848	"waaP, rfaP; heptose I phosphotransferase [EC:2.7.1.-]"
K02849	"waaQ, rfaQ; heptosyltransferase III [EC:2.4.-.-]"
K02850	"waaY, rfaY; heptose II phosphotransferase [EC:2.7.1.-]"
K02851	"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase [EC:2.7.8.33 2.7.8.35]"
K02852	"wecG, rffM; UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase [EC:2.4.1.180]"
K02853	"wzyE, rffT; enterobacterial common antigen polymerase [EC:2.4.1.-]"
K02854	"rhaR; AraC family transcriptional regulator, L-rhamnose operon transcriptional activator RhaR"
K02855	"rhaS; AraC family transcriptional regulator, L-rhamnose operon regulatory protein RhaS"
K02858	"ribB, RIB3; 3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]"
K02860	rimM; 16S rRNA processing protein RimM
K02863	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
K02864	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
K02866	"RP-L10e, RPL10; large subunit ribosomal protein L10e"
K02867	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
K02869	"RP-L12, rpl12; large subunit ribosomal protein L12"
K02871	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
K02874	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
K02876	"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
K02877	"RP-L15e, RPL15; large subunit ribosomal protein L15e"
K02878	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
K02879	"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
K02881	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
K02883	"RP-L18e, RPL18; large subunit ribosomal protein L18e"
K02884	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
K02885	"RP-L19e, RPL19; large subunit ribosomal protein L19e"
K02886	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
K02887	"RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
K02888	"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
K02889	"RP-L21e, RPL21; large subunit ribosomal protein L21e"
K02890	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
K02892	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
K02895	"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
K02897	"RP-L25, rplY; large subunit ribosomal protein L25"
K02899	"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
K02902	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
K02904	"RP-L29, rpmC; large subunit ribosomal protein L29"
K02906	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
K02907	"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
K02909	"RP-L31, rpmE; large subunit ribosomal protein L31"
K02910	"RP-L31e, RPL31; large subunit ribosomal protein L31e"
K02911	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
K02912	"RP-L32e, RPL32; large subunit ribosomal protein L32e"
K02913	"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
K02914	"RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
K02916	"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
K02919	"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
K02921	"RP-L37Ae, RPL37A; large subunit ribosomal protein L37Ae"
K02924	"RP-L39e, RPL39; large subunit ribosomal protein L39e"
K02926	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
K02927	"RP-L40e, RPL40; large subunit ribosomal protein L40e"
K02929	"RP-L44e, RPL44; large subunit ribosomal protein L44e"
K02931	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
K02933	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
K02935	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
K02936	"RP-L7Ae, RPL7A; large subunit ribosomal protein L7Ae"
K02939	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
K02945	"RP-S1, rpsA; small subunit ribosomal protein S1"
K02946	"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
K02948	"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
K02950	"RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12"
K02952	"RP-S13, rpsM; small subunit ribosomal protein S13"
K02954	"RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14"
K02956	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
K02959	"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
K02961	"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
K02962	"RP-S17e, RPS17; small subunit ribosomal protein S17e"
K02963	"RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
K02965	"RP-S19, rpsS; small subunit ribosomal protein S19"
K02966	"RP-S19e, RPS19; small subunit ribosomal protein S19e"
K02967	"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
K02968	"RP-S20, rpsT; small subunit ribosomal protein S20"
K02970	"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
K02976	"RP-S26e, RPS26; small subunit ribosomal protein S26e"
K02978	"RP-S27e, RPS27; small subunit ribosomal protein S27e"
K02979	"RP-S28e, RPS28; small subunit ribosomal protein S28e"
K02982	"RP-S3, rpsC; small subunit ribosomal protein S3"
K02986	"RP-S4, rpsD; small subunit ribosomal protein S4"
K02988	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
K02990	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
K02992	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
K02994	"RP-S8, rpsH; small subunit ribosomal protein S8"
K02996	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
K03040	rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]
K03041	rpoA1; DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]
K03043	rpoB; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]
K03046	rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K03047	rpoD; DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K03049	rpoE1; DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
K03050	"rpoE2; DNA-directed RNA polymerase subunit E"" [EC:2.7.7.6]"
K03053	rpoH; DNA-directed RNA polymerase subunit H [EC:2.7.7.6]
K03056	rpoL; DNA-directed RNA polymerase subunit L [EC:2.7.7.6]
K03058	rpoN; DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K03060	rpoZ; DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K03063	"PSMC4, RPT3; 26S proteasome regulatory subunit T3"
K03070	secA; preprotein translocase subunit SecA [EC:7.4.2.8]
K03071	secB; preprotein translocase subunit SecB
K03072	secD; preprotein translocase subunit SecD
K03073	secE; preprotein translocase subunit SecE
K03074	secF; preprotein translocase subunit SecF
K03075	secG; preprotein translocase subunit SecG
K03076	secY; preprotein translocase subunit SecY
K03077	"araD, ulaF, sgaE, sgbE; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]"
K03078	"ulaD, sgaH, sgbH; 3-dehydro-L-gulonate-6-phosphate decarboxylase [EC:4.1.1.85]"
K03079	"ulaE, sgaU, sgbU; L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]"
K03086	rpoD; RNA polymerase primary sigma factor
K03087	rpoS; RNA polymerase nonessential primary-like sigma factor
K03088	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
K03089	rpoH; RNA polymerase sigma-32 factor
K03091	sigH; RNA polymerase sporulation-specific sigma factor
K03092	rpoN; RNA polymerase sigma-54 factor
K03098	APOD; apolipoprotein D and lipocalin family protein
K03100	lepB; signal peptidase I [EC:3.4.21.89]
K03101	lspA; signal peptidase II [EC:3.4.23.36]
K03106	"SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]"
K03110	ftsY; fused signal recognition particle receptor
K03111	ssb; single-strand DNA-binding protein
K03112	damX; DamX protein
K03113	"EIF1, SUI1; translation initiation factor 1"
K03116	tatA; sec-independent protein translocase protein TatA
K03117	tatB; sec-independent protein translocase protein TatB
K03118	tatC; sec-independent protein translocase protein TatC
K03120	"TBP, tbp; transcription initiation factor TFIID TATA-box-binding protein"
K03124	"TFIIB, GTF2B, SUA7, tfb; transcription initiation factor TFIIB"
K03136	"TFIIE1, GTF2E1, TFA1, tfe; transcription initiation factor TFIIE subunit alpha"
K03147	thiC; phosphomethylpyrimidine synthase [EC:4.1.99.17]
K03148	thiF; sulfur carrier protein ThiS adenylyltransferase [EC:2.7.7.73]
K03149	thiG; thiazole synthase [EC:2.8.1.10]
K03150	thiH; 2-iminoacetate synthase [EC:4.1.99.19]
K03151	thiI; tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]
K03152	thiJ; protein deglycase [EC:3.5.1.124]
K03153	thiO; glycine oxidase [EC:1.4.3.19]
K03154	thiS; sulfur carrier protein
K03163	TOP1; DNA topoisomerase I [EC:5.6.2.1]
K03166	top6A; DNA topoisomerase VI subunit A [EC:5.6.2.2]
K03167	top6B; DNA topoisomerase VI subunit B [EC:5.6.2.2]
K03168	topA; DNA topoisomerase I [EC:5.6.2.1]
K03169	topB; DNA topoisomerase III [EC:5.6.2.1]
K03177	"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]"
K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K03181	ubiC; chorismate--pyruvate lyase [EC:4.1.3.40]
